gold_diff,kill_diff,my_team_tower_fb,my_team_drake_fb,my_team_herald_fb,my_team_win
-1844,-1,1,0,0,False
-568,1,1,0,0,False
2904,5,0,1,1,True
-1429,2,1,0,0,True
2360,5,0,1,0,True
-620,0,1,0,0,False
1165,4,0,1,0,True
1079,5,1,1,0,True
650,0,1,0,1,False
-379,-3,1,0,0,False
-1237,-1,0,1,0,True
-1456,-4,1,0,1,False
3232,4,0,1,1,True
2113,5,0,1,1,True
2996,6,0,1,0,True
1352,1,0,1,0,False
-553,-1,1,1,1,False
-515,-1,1,0,1,False
-1682,-2,1,0,0,False
1255,3,1,1,1,True
1613,1,0,1,1,True
-388,-1,1,1,1,True
-3168,-7,1,0,0,False
2125,4,1,0,0,False
-1964,-5,1,1,0,False
1604,2,0,0,0,True
728,1,0,0,1,True
-1045,-4,0,0,1,False
-1790,-3,1,1,0,False
915,2,0,1,0,True
-30,-1,1,0,1,False
60,1,1,1,0,False
-2382,-3,1,1,0,False
-369,1,1,0,0,False
2301,4,0,1,1,True
-57,0,1,1,0,False
-2979,-9,0,0,1,False
-532,-2,0,1,0,False
-1518,-4,1,0,0,True
150,-1,1,1,0,True
-4341,-7,1,0,0,False
-314,-3,0,0,1,True
-3136,-5,1,1,0,False
-2902,-3,0,1,1,False
-767,0,1,0,0,False
-50,1,1,0,0,True
-1304,0,0,0,0,True
-2596,-4,1,1,0,False
-1900,-3,1,1,0,True
788,3,0,0,1,True
-921,-3,0,1,1,True
-35,-1,1,1,0,True
-4418,-9,1,0,1,False
-239,-2,1,0,1,True
2408,3,1,1,1,True
-2298,-2,1,1,0,False
1431,3,0,1,1,True
2934,7,0,1,1,True
-765,1,1,1,1,True
-1420,-3,0,1,0,True
3063,5,0,1,1,True
2384,4,0,0,1,True
-1463,-2,1,0,0,False
-1295,0,0,1,1,False
520,1,1,1,0,True
-967,-3,1,1,0,False
2060,2,1,0,1,True
2621,4,0,0,1,True
12,0,1,0,0,False
2205,3,1,0,1,True
-979,-1,1,1,1,True
1080,1,0,1,1,True
2613,7,0,1,1,True
1865,2,1,0,0,True
-2025,-6,1,1,1,False
-3061,-6,1,0,0,False
226,0,0,0,1,True
-1001,-2,1,0,0,False
-1746,-4,1,0,0,False
560,1,1,0,0,False
1329,4,1,0,1,True
227,0,0,1,0,True
-3091,-5,1,0,0,False
3777,8,0,0,1,True
-535,-3,0,1,1,True
-356,-2,1,0,0,False
-1402,-2,1,1,0,False
405,0,1,1,0,False
1326,2,1,0,1,True
645,3,0,1,1,True
392,1,1,0,0,False
-1797,-5,1,0,0,False
3398,7,0,1,0,True
5242,10,0,1,1,True
2767,5,0,1,1,True
-2198,-4,1,0,0,False
-2261,-1,1,0,0,False
-754,1,0,1,0,True
714,2,1,1,1,True
-2153,-4,1,0,0,False
2098,4,0,0,1,True
1340,2,0,1,1,True
1949,5,0,1,1,True
701,3,1,1,0,False
1436,3,1,0,1,True
331,-1,0,0,1,True
192,1,1,1,0,False
1248,3,0,0,1,True
696,0,1,0,1,False
-213,-1,1,1,1,False
-698,-6,1,0,0,True
-1365,-4,1,1,0,True
-2311,-4,1,0,0,False
1021,2,0,0,0,True
795,0,0,1,0,True
1082,7,1,1,1,True
-231,-4,0,0,0,True
-1939,-2,1,0,1,False
-3983,-5,1,1,0,False
-1653,-2,1,1,1,True
-1075,-1,1,0,0,False
1368,4,1,0,1,True
1251,5,0,0,1,True
2840,3,0,1,1,True
-1114,0,1,1,0,False
1776,3,0,0,1,False
-1714,-2,0,1,1,True
1274,1,1,1,1,True
3179,9,0,1,0,False
2234,6,0,1,1,True
-374,-2,0,0,1,True
291,-2,0,1,0,True
964,3,1,1,1,True
-289,0,0,0,1,False
3813,8,0,1,1,True
2544,4,0,1,1,True
-825,-1,1,1,1,True
-820,-2,0,0,0,True
2312,5,0,0,1,True
-1209,-3,0,0,0,True
2195,2,0,1,0,True
-338,0,1,0,1,False
-2096,-4,1,0,0,False
967,4,1,0,0,False
-863,-3,0,0,0,False
2821,6,0,1,0,False
-401,0,1,0,0,False
3300,6,0,1,0,False
1476,4,0,0,1,True
1178,2,1,1,0,False
2719,5,0,1,1,True
-1418,-3,1,0,0,True
-3479,-7,1,1,0,False
5491,10,0,1,1,True
4554,11,0,0,1,True
753,2,0,1,1,True
114,1,1,0,0,False
-1717,-5,1,1,0,False
1618,4,0,1,0,True
-3035,-5,1,0,0,False
78,-2,0,1,0,False
1054,1,0,1,0,True
3555,9,0,0,1,True
-619,-1,0,1,1,True
532,1,0,0,1,True
2151,4,0,1,0,False
-1691,-1,1,0,0,False
-288,2,1,0,0,False
-617,-1,1,0,0,True
1064,1,1,0,0,False
-395,-1,0,0,1,True
668,3,1,1,1,True
-580,-2,1,0,1,False
817,1,0,1,1,True
-117,1,1,1,0,True
3305,7,0,1,1,True
4260,8,0,1,1,False
-876,-1,1,1,0,False
3153,5,1,1,1,True
1849,-1,0,1,1,True
-2499,-6,1,0,0,False
-289,-3,1,0,1,True
-543,0,1,1,0,True
-1933,-1,1,0,0,False
2961,3,0,1,0,True
762,2,1,0,0,True
-3694,-6,1,0,0,False
3257,3,0,1,0,True
-553,0,1,0,0,False
1275,4,0,1,1,True
-584,-2,1,0,1,False
-2871,-7,1,0,1,False
-2979,-6,1,0,0,False
2280,5,0,0,1,True
338,-1,0,1,1,True
1973,2,0,1,0,True
1918,0,0,0,0,False
2286,6,0,1,1,True
-3042,-3,1,1,0,True
441,1,1,1,0,True
-1795,-2,1,0,0,False
-627,-2,0,0,1,False
2825,6,0,1,1,True
988,2,0,1,1,True
308,0,0,0,1,True
-1433,-1,1,1,0,False
-104,0,1,0,0,False
3852,7,0,1,1,True
-1021,-2,0,0,0,False
-1184,-2,1,1,0,False
-860,-5,0,1,0,False
-1805,-2,1,1,0,True
-72,0,1,0,0,False
-3468,-9,1,0,0,False
-1285,-4,1,1,0,False
921,2,0,0,0,False
-2292,-5,1,1,0,False
1016,5,1,0,1,False
2650,4,0,0,1,False
-1314,-2,0,1,1,True
-1349,-1,1,1,0,False
4773,9,0,1,1,True
1009,2,1,0,1,True
-1980,-2,0,1,0,False
-2327,-3,1,0,0,False
2158,5,0,0,1,False
3026,4,0,1,0,True
-800,-2,1,1,1,True
-2919,-5,1,0,1,False
-3075,-5,1,0,1,True
708,-1,0,1,1,False
-122,-2,1,0,0,True
2927,5,0,1,1,True
-1123,-3,1,0,0,False
-866,-1,1,0,0,False
-1125,-4,0,0,1,False
781,1,1,0,1,False
-932,-3,0,0,0,False
238,1,0,0,1,True
449,4,0,0,1,True
-2660,-5,1,0,0,False
876,1,0,1,1,True
1280,1,0,1,0,True
-1647,-2,1,1,0,True
93,1,1,1,0,False
293,1,1,1,1,True
-1381,-5,0,0,0,True
-1570,-4,0,1,0,False
-1784,-3,0,0,0,True
-1725,-2,0,1,0,True
-1825,-4,1,0,1,False
36,2,0,1,1,True
3430,4,0,1,1,True
874,2,1,0,1,False
-490,-1,1,0,1,False
-3637,-9,1,0,0,False
1721,2,0,1,0,True
-337,1,1,0,0,False
764,3,1,0,1,False
-400,-3,1,0,0,False
1792,3,0,1,0,True
-2312,0,1,1,0,False
112,1,0,1,1,False
3251,8,0,1,1,True
1495,2,0,0,1,True
-1759,-5,1,0,0,False
1091,3,0,1,1,True
-2849,-4,1,1,1,True
-2661,-6,1,0,0,True
-3223,-5,1,0,0,False
4347,10,1,1,1,True
-502,-1,1,1,0,True
1508,4,0,1,1,True
-1888,-3,1,0,0,False
-3815,-8,1,1,0,False
-3867,-8,1,0,0,False
-3464,-9,1,0,1,False
-1848,-4,0,0,0,True
-922,-3,0,0,0,True
-2066,-1,1,1,0,False
4302,10,0,0,1,True
3722,8,0,0,0,True
1375,3,1,1,1,True
2112,3,0,1,1,True
3489,10,0,0,1,True
611,2,0,0,1,True
-6232,-10,1,1,0,False
773,2,0,1,0,True
2429,5,1,0,0,False
-3697,-6,1,1,1,False
1029,1,1,1,1,True
