gold_diff,kill_diff,my_team_win
1729,1,True
839,1,True
2696,6,False
1993,7,True
159,0,True
1171,0,False
-1089,-1,True
-867,-2,False
-1404,-4,False
4010,7,True
-118,1,False
-3394,-6,False
-405,-2,True
-907,-1,False
-267,-1,True
2328,5,True
-695,-2,False
1362,2,True
-3705,-7,False
-1544,-4,True
-756,-3,False
813,2,True
1280,3,True
-2355,-4,False
495,-1,False
1255,4,False
-1864,-3,False
-19,1,True
2201,4,False
3920,6,True
83,0,False
1711,3,False
-115,0,False
2801,7,False
179,0,False
986,3,True
1247,5,True
1257,2,False
-3909,-7,False
87,-2,True
1909,3,True
992,1,True
405,0,False
-1159,-2,False
-1965,-4,True
-3123,-8,False
-317,0,True
-728,-3,False
2068,3,True
1463,1,True
-96,-1,True
956,1,True
-1699,-1,False
-1698,-3,False
-3019,-6,False
2439,6,True
853,-2,True
632,1,True
845,1,False
-271,0,True
-1928,-4,False
7,0,False
1181,2,True
-478,1,False
-1930,-1,False
-226,-2,False
-569,1,False
1670,4,True
6,0,True
-1946,-3,False
-307,-1,False
-2571,-7,False
6122,10,True
-3672,-7,False
2205,7,True
-1363,-3,False
1357,1,False
1149,2,True
-439,1,False
1947,1,False
1104,6,False
-3412,-10,False
-1400,-2,False
830,3,True
-1507,-5,False
-1098,-1,True
-2691,-7,False
-1256,-3,True
-722,-1,True
307,1,True
-230,-2,True
2202,3,True
-1010,-2,False
-446,1,True
604,-1,True
3277,6,True
5220,13,True
1663,2,True
1304,2,False
483,3,True
3566,2,True
3029,4,True
1323,1,False
1079,1,False
-1706,-5,True
-3314,-5,True
-973,-1,False
-1740,-3,True
-2326,-5,False
1800,2,True
654,2,True
3402,4,True
2636,5,True
-2815,-6,False
302,2,True
-796,1,True
1228,2,False
-24,0,True
-1155,-4,True
1311,4,False
-1711,-6,False
-2435,-7,False
722,3,False
-344,-2,True
680,-1,False
1397,-1,True
1975,5,False
-1250,-4,True
-48,-1,False
1692,1,True
-1153,-2,True
1974,4,True
-2133,-7,False
1158,0,True
2689,1,True
1430,2,False
901,0,True
-930,-1,True
-685,-3,True
2033,5,True
1869,6,True
-1906,-5,False
361,0,False
2579,5,True
-2286,-5,False
1557,4,True
4238,8,True
1,-1,False
114,-1,False
-3188,-2,True
2358,6,True
-629,0,False
-3867,-7,False
-495,-1,True
944,3,True
1448,3,True
4421,7,True
-2696,-9,True
3083,5,True
877,3,True
236,2,True
447,0,False
-714,-3,True
551,2,False
4591,6,True
-1806,-4,True
-170,-2,True
-2675,-8,True
-1318,-2,False
2151,2,False
-78,-2,True
1168,3,True
3064,5,True
660,3,False
-1821,-2,False
2105,4,True
506,0,False
1103,3,True
571,0,False
-3658,-5,False
2980,6,True
340,1,True
-2499,-6,False
989,3,True
-92,-4,False
-3800,-5,False
-3419,-3,False
-1167,-2,True
863,3,False
-2346,-6,False
595,0,True
-394,2,False
-441,1,False
-210,-1,False
-170,-2,False
1947,8,False
-2375,-3,False
1369,4,True
-2400,-2,False
-1730,-6,False
-2014,-5,True
-220,-1,True
2154,3,True
-181,-3,True
592,0,True
-697,-4,True
1142,2,True
3447,6,True
-2662,-6,False
-4531,-9,False
-240,0,True
394,1,True
-37,-1,True
-2246,-4,False
248,0,False
2792,5,False
-758,-3,True
1879,4,True
-2496,-5,False
-628,-2,True
1905,3,True
-148,1,True
618,1,True
1918,3,True
89,-1,True
2438,5,True
-1103,-2,True
-244,0,True
-2916,-6,False
6384,12,True
312,2,False
13,0,True
-1611,0,False
2654,4,True
-2148,-3,False
-939,-3,False
-1185,-1,False
466,5,False
2234,4,True
745,1,True
-3810,-11,False
245,1,False
-852,-2,False
-4376,-11,False
306,0,True
3041,8,True
-305,0,True
-1942,-4,False
302,0,True
2796,4,False
996,2,False
-60,0,False
2722,6,True
-135,-1,False
1245,1,True
-370,1,True
906,0,False
-1071,-2,False
60,2,True
2415,2,True
-575,-1,False
-1698,-3,True
-2623,-5,False
1826,5,True
-4415,-9,False
-1123,-3,True
-1013,-1,False
243,0,True
911,1,True
1733,3,True
-3288,-8,False
-587,-1,True
-1052,-1,True
342,1,True
726,3,True
1373,1,False
302,0,True
505,1,True
-265,-2,False
